bulgarian-sig-2017-inflection-attentive_lstm-frankenstein,bulgarian-sig-2017-inflection-attentive_lstm-frankenstein-sweep,jf6fkyyr
bulgarian-sig-2017-inflection-transformer-frankenstein,bulgarian-sig-2017-inflection-transformer-frankenstein-sweep,0dpn9k8j
french-sig-2017-inflection-attentive_lstm-frankenstein,french-sig-2017-inflection-attentive_lstm-frankenstein-sweep,tahlu41q
french-sig-2017-inflection-transformer-frankenstein,french-sig-2017-inflection-transformer-frankenstein-sweep,c78n6b2p
hungarian-sig-2017-inflection-attentive_lstm-frankenstein,hungarian-sig-2017-inflection-attentive_lstm-frankenstein-sweep,i4onh4p9
hungarian-sig-2017-inflection-transformer-frankenstein,hungarian-sig-2017-inflection-transformer-frankenstein-sweep,qv9qy0pl
albanian-sig-2017-inflection-attentive_lstm-frankenstein,albanian-sig-2023-inflection-attentive_lstm-frankenstein-sweep,e6z66mpt
albanian-sig-2017-inflection-transformer-frankenstein,albanian-sig-2023-inflection-transformer-frankenstein-sweep,en0j2p5m
arabic-sig-2017-inflection-attentive_lstm-frankenstein,arabic-sig-2023-inflection-attentive_lstm-frankenstein-sweep,86egboqx
arabic-sig-2017-inflection-transformer-frankenstein,arabic-sig-2023-inflection-transformer-frankenstein-sweep,qdhy4bum
armenian-sig-2017-inflection-attentive_lstm-frankenstein,armenian-sig-2023-inflection-attentive_lstm-frankenstein-sweep,3dt11blt
armenian-sig-2017-inflection-transformer-frankenstein,armenian-sig-2023-inflection-transformer-frankenstein-sweep,occr4kte
basque-sig-2017-inflection-attentive_lstm-frankenstein,basque-sig-2023-inflection-attentive_lstm-frankenstein-sweep,27g1ayvj
basque-sig-2017-inflection-transformer-frankenstein,basque-sig-2023-inflection-transformer-frankenstein-sweep,kuzuc5vw
bengali-sig-2017-inflection-attentive_lstm-frankenstein,bengali-sig-2023-inflection-attentive_lstm-frankenstein-sweep,8u2tzrmj
bengali-sig-2017-inflection-transformer-frankenstein,bengali-sig-2023-inflection-transformer-frankenstein-sweep,1cq08y30
catalan-sig-2017-inflection-attentive_lstm-frankenstein,catalan-sig-2023-inflection-attentive_lstm-frankenstein-sweep,yi7cmtmd
catalan-sig-2017-inflection-transformer-frankenstein,catalan-sig-2023-inflection-transformer-frankenstein-sweep,v2xjadtp
czech-sig-2017-inflection-attentive_lstm-frankenstein,czech-sig-2023-inflection-attentive_lstm-frankenstein-sweep,w9imwunv
czech-sig-2017-inflection-transformer-frankenstein,czech-sig-2023-inflection-transformer-frankenstein-sweep,htcki5uv
danish-sig-2017-inflection-attentive_lstm-frankenstein,danish-sig-2023-inflection-attentive_lstm-frankenstein-sweep,2vbsxg7i
danish-sig-2017-inflection-transformer-frankenstein,danish-sig-2023-inflection-transformer-frankenstein-sweep,em7ndpqv
dutch-sig-2017-inflection-attentive_lstm-frankenstein,dutch-sig-2023-inflection-attentive_lstm-frankenstein-sweep,gh6zf3wk
dutch-sig-2017-inflection-transformer-frankenstein,dutch-sig-2023-inflection-transformer-frankenstein-sweep,jz7dnfsz
english-sig-2017-inflection-attentive_lstm-frankenstein,english-sig-2023-inflection-attentive_lstm-frankenstein-sweep,6e1uopwo
english-sig-2017-inflection-transformer-frankenstein,english-sig-2023-inflection-transformer-frankenstein-sweep,luuo4a8x
estonian-sig-2017-inflection-attentive_lstm-frankenstein,estonian-sig-2023-inflection-attentive_lstm-frankenstein-sweep,2re25jdp
estonian-sig-2017-inflection-transformer-frankenstein,estonian-sig-2023-inflection-transformer-frankenstein-sweep,tq5efysq
faroese-sig-2017-inflection-attentive_lstm-frankenstein,faroese-sig-2023-inflection-attentive_lstm-frankenstein-sweep,6kmcctwc
faroese-sig-2017-inflection-transformer-frankenstein,faroese-sig-2023-inflection-transformer-frankenstein-sweep,ho5p1bzy
finnish-sig-2017-inflection-attentive_lstm-frankenstein,finnish-sig-2023-inflection-attentive_lstm-frankenstein-sweep,xcju4gfd
finnish-sig-2017-inflection-transformer-frankenstein,finnish-sig-2023-inflection-transformer-frankenstein-sweep,yzgqeyh2
georgian-sig-2017-inflection-attentive_lstm-frankenstein,georgian-sig-2023-inflection-attentive_lstm-frankenstein-sweep,8d8c29is
georgian-sig-2017-inflection-transformer-frankenstein,georgian-sig-2023-inflection-transformer-frankenstein-sweep,mta1c9wl
german-sig-2017-inflection-attentive_lstm-frankenstein,german-sig-2023-inflection-attentive_lstm-frankenstein-sweep,md5cfno6
german-sig-2017-inflection-transformer-frankenstein,german-sig-2023-inflection-transformer-frankenstein-sweep,xsv7z9r5
haida-sig-2017-inflection-attentive_lstm-frankenstein,haida-sig-2023-inflection-attentive_lstm-frankenstein-sweep,diviigiz
haida-sig-2017-inflection-transformer-frankenstein,haida-sig-2023-inflection-transformer-frankenstein-sweep,40fs8k99
hebrew-sig-2017-inflection-attentive_lstm-frankenstein,hebrew-sig-2023-inflection-attentive_lstm-frankenstein-sweep,q54itdr2
hebrew-sig-2017-inflection-transformer-frankenstein,hebrew-sig-2023-inflection-transformer-frankenstein-sweep,77q5v6h3
hindi-sig-2017-inflection-attentive_lstm-frankenstein,hindi-sig-2023-inflection-attentive_lstm-frankenstein-sweep,4s455fyk
hindi-sig-2017-inflection-transformer-frankenstein,hindi-sig-2023-inflection-transformer-frankenstein-sweep,wpwwnw30
icelandic-sig-2017-inflection-attentive_lstm-frankenstein,icelandic-sig-2023-inflection-attentive_lstm-frankenstein-sweep,atsl1zk8
icelandic-sig-2017-inflection-transformer-frankenstein,icelandic-sig-2023-inflection-transformer-frankenstein-sweep,6k1wc2u2
irish-sig-2017-inflection-attentive_lstm-frankenstein,irish-sig-2023-inflection-attentive_lstm-frankenstein-sweep,26ytym1a
irish-sig-2017-inflection-transformer-frankenstein,irish-sig-2023-inflection-transformer-frankenstein-sweep,lmo7063e
italian-sig-2017-inflection-attentive_lstm-frankenstein,italian-sig-2023-inflection-attentive_lstm-frankenstein-sweep,gddjpxqd
italian-sig-2017-inflection-transformer-frankenstein,italian-sig-2023-inflection-transformer-frankenstein-sweep,62gogqvg
khaling-sig-2017-inflection-attentive_lstm-frankenstein,khaling-sig-2023-inflection-attentive_lstm-frankenstein-sweep,801hxjro
khaling-sig-2017-inflection-transformer-frankenstein,khaling-sig-2023-inflection-transformer-frankenstein-sweep,q7qolvct
kurmanji-sig-2017-inflection-attentive_lstm-frankenstein,kurmanji-sig-2023-inflection-attentive_lstm-frankenstein-sweep,zlekl2do
kurmanji-sig-2017-inflection-transformer-frankenstein,kurmanji-sig-2023-inflection-transformer-frankenstein-sweep,7yubtt3u
latin-sig-2017-inflection-attentive_lstm-frankenstein,latin-sig-2023-inflection-attentive_lstm-frankenstein-sweep,0eok59ri
latin-sig-2017-inflection-transformer-frankenstein,latin-sig-2023-inflection-transformer-frankenstein-sweep,ojjee11r
latvian-sig-2017-inflection-attentive_lstm-frankenstein,latvian-sig-2023-inflection-attentive_lstm-frankenstein-sweep,qiehey0u
latvian-sig-2017-inflection-transformer-frankenstein,latvian-sig-2023-inflection-transformer-frankenstein-sweep,1fh3qptd
lithuanian-sig-2017-inflection-attentive_lstm-frankenstein,lithuanian-sig-2023-inflection-attentive_lstm-frankenstein-sweep,v189tsro
lithuanian-sig-2017-inflection-transformer-frankenstein,lithuanian-sig-2023-inflection-transformer-frankenstein-sweep,ct0q4nua
lower-sorbian-sig-2017-inflection-attentive_lstm-frankenstein,lower-sorbian-sig-2023-inflection-attentive_lstm-frankenstein-sweep,wqgqztlv
lower-sorbian-sig-2017-inflection-transformer-frankenstein,lower-sorbian-sig-2023-inflection-transformer-frankenstein-sweep,jpsywpuo
macedonian-sig-2017-inflection-attentive_lstm-frankenstein,macedonian-sig-2023-inflection-attentive_lstm-frankenstein-sweep,x6bc2c4f
macedonian-sig-2017-inflection-transformer-frankenstein,macedonian-sig-2023-inflection-transformer-frankenstein-sweep,ycm01sgz
navajo-sig-2017-inflection-attentive_lstm-frankenstein,navajo-sig-2023-inflection-attentive_lstm-frankenstein-sweep,qldjwdfh
navajo-sig-2017-inflection-transformer-frankenstein,navajo-sig-2023-inflection-transformer-frankenstein-sweep,8pb964ra
northern-sami-sig-2017-inflection-attentive_lstm-frankenstein,northern-sami-sig-2023-inflection-attentive_lstm-frankenstein-sweep,pvfpkpq6
northern-sami-sig-2017-inflection-transformer-frankenstein,northern-sami-sig-2023-inflection-transformer-frankenstein-sweep,yjhylhl6
norwegian-bokmal-sig-2017-inflection-attentive_lstm-frankenstein,norwegian-bokmal-sig-2023-inflection-attentive_lstm-frankenstein-sweep,2f46f9iv
norwegian-bokmal-sig-2017-inflection-transformer-frankenstein,norwegian-bokmal-sig-2023-inflection-transformer-frankenstein-sweep,j021cnq9
norwegian-nynorsk-sig-2017-inflection-attentive_lstm-frankenstein,norwegian-nynorsk-sig-2023-inflection-attentive_lstm-frankenstein-sweep,vh59j8k9
norwegian-nynorsk-sig-2017-inflection-transformer-frankenstein,norwegian-nynorsk-sig-2023-inflection-transformer-frankenstein-sweep,c94kb399
persian-sig-2017-inflection-attentive_lstm-frankenstein,persian-sig-2023-inflection-attentive_lstm-frankenstein-sweep,fo9m0t1t
persian-sig-2017-inflection-transformer-frankenstein,persian-sig-2023-inflection-transformer-frankenstein-sweep,qw1qxij3
polish-sig-2017-inflection-attentive_lstm-frankenstein,polish-sig-2023-inflection-attentive_lstm-frankenstein-sweep,3ln16l1x
polish-sig-2017-inflection-transformer-frankenstein,polish-sig-2023-inflection-transformer-frankenstein-sweep,0a29v6ey
portuguese-sig-2017-inflection-attentive_lstm-frankenstein,portuguese-sig-2023-inflection-attentive_lstm-frankenstein-sweep,rf4cure5
portuguese-sig-2017-inflection-transformer-frankenstein,portuguese-sig-2023-inflection-transformer-frankenstein-sweep,xzzh63u3
quechua-sig-2017-inflection-attentive_lstm-frankenstein,quechua-sig-2023-inflection-attentive_lstm-frankenstein-sweep,i4si4gan
quechua-sig-2017-inflection-transformer-frankenstein,quechua-sig-2023-inflection-transformer-frankenstein-sweep,05untgvw
romanian-sig-2017-inflection-attentive_lstm-frankenstein,romanian-sig-2023-inflection-attentive_lstm-frankenstein-sweep,oz2z1tjf
romanian-sig-2017-inflection-transformer-frankenstein,romanian-sig-2023-inflection-transformer-frankenstein-sweep,qddprmjb
russian-sig-2017-inflection-attentive_lstm-frankenstein,russian-sig-2023-inflection-attentive_lstm-frankenstein-sweep,i74j9y06
russian-sig-2017-inflection-transformer-frankenstein,russian-sig-2023-inflection-transformer-frankenstein-sweep,apdvdbxu
scottish-gaelic-sig-2017-inflection-attentive_lstm-frankenstein,scottish-gaelic-sig-2023-inflection-attentive_lstm-frankenstein-sweep,jkz3cphg
scottish-gaelic-sig-2017-inflection-transformer-frankenstein,scottish-gaelic-sig-2023-inflection-transformer-frankenstein-sweep,9mf5jrue
serbo-croatian-sig-2017-inflection-attentive_lstm-frankenstein,serbo-croatian-sig-2023-inflection-attentive_lstm-frankenstein-sweep,05wf5a4a
serbo-croatian-sig-2017-inflection-transformer-frankenstein,serbo-croatian-sig-2023-inflection-transformer-frankenstein-sweep,s04jd7id
slovak-sig-2017-inflection-attentive_lstm-frankenstein,slovak-sig-2023-inflection-attentive_lstm-frankenstein-sweep,75pgs93z
slovak-sig-2017-inflection-transformer-frankenstein,slovak-sig-2023-inflection-transformer-frankenstein-sweep,dcerzgig
slovene-sig-2017-inflection-attentive_lstm-frankenstein,slovene-sig-2023-inflection-attentive_lstm-frankenstein-sweep,wtumw0ea
slovene-sig-2017-inflection-transformer-frankenstein,slovene-sig-2023-inflection-transformer-frankenstein-sweep,d57103tr
sorani-sig-2017-inflection-attentive_lstm-frankenstein,sorani-sig-2023-inflection-attentive_lstm-frankenstein-sweep,4mbtbuny
sorani-sig-2017-inflection-transformer-frankenstein,sorani-sig-2023-inflection-transformer-frankenstein-sweep,tb4rcjzo
spanish-sig-2017-inflection-attentive_lstm-frankenstein,spanish-sig-2023-inflection-attentive_lstm-frankenstein-sweep,ayku2xex
spanish-sig-2017-inflection-transformer-frankenstein,spanish-sig-2023-inflection-transformer-frankenstein-sweep,7phdrqjz
swedish-sig-2017-inflection-attentive_lstm-frankenstein,swedish-sig-2023-inflection-attentive_lstm-frankenstein-sweep,5if2w969
swedish-sig-2017-inflection-transformer-frankenstein,swedish-sig-2023-inflection-transformer-frankenstein-sweep,7iofo22i
turkish-sig-2017-inflection-attentive_lstm-frankenstein,turkish-sig-2023-inflection-attentive_lstm-frankenstein-sweep,giy4uo6w
turkish-sig-2017-inflection-transformer-frankenstein,turkish-sig-2023-inflection-transformer-frankenstein-sweep,ixmt4e56
ukrainian-sig-2017-inflection-attentive_lstm-frankenstein,ukrainian-sig-2023-inflection-attentive_lstm-frankenstein-sweep,yir6u4t7
ukrainian-sig-2017-inflection-transformer-frankenstein,ukrainian-sig-2023-inflection-transformer-frankenstein-sweep,z4ghraqz
urdu-sig-2017-inflection-attentive_lstm-frankenstein,urdu-sig-2023-inflection-attentive_lstm-frankenstein-sweep,odaw70gy
urdu-sig-2017-inflection-transformer-frankenstein,urdu-sig-2023-inflection-transformer-frankenstein-sweep,86pv91pv
welsh-sig-2017-inflection-attentive_lstm-frankenstein,welsh-sig-2023-inflection-attentive_lstm-frankenstein-sweep,y07chxcz
welsh-sig-2017-inflection-transformer-frankenstein,welsh-sig-2023-inflection-transformer-frankenstein-sweep,xe6nsh9v
albanian-sig-2017-inflection-transformer-attentive_lstm-frankenstein,albanian-sig-2017-inflection-transformer-attentive_lstm-frankenstein-sweep,vdx7skbm
albanian-sig-2017-inflection-attentive_lstm-transformer-frankenstein,albanian-sig-20217-inflection-attentive_lstm-transformer-frankenstein-sweep,86ggx4gv
arabic-sig-2017-inflection-transformer-attentive_lstm-frankenstein,arabic-sig-2017-inflection-transformer-attentive_lstm-frankenstein-sweep,izhyvehr
arabic-sig-2017-inflection-attentive_lstm-transformer-frankenstein,arabic-sig-20217-inflection-attentive_lstm-transformer-frankenstein-sweep,pz2950v9
armenian-sig-2017-inflection-transformer-attentive_lstm-frankenstein,armenian-sig-2017-inflection-transformer-attentive_lstm-frankenstein-sweep,bhow2rsc
armenian-sig-2017-inflection-attentive_lstm-transformer-frankenstein,armenian-sig-20217-inflection-attentive_lstm-transformer-frankenstein-sweep,nsvc32t0
basque-sig-2017-inflection-transformer-attentive_lstm-frankenstein,basque-sig-2017-inflection-transformer-attentive_lstm-frankenstein-sweep,n0co8zqn
basque-sig-2017-inflection-attentive_lstm-transformer-frankenstein,basque-sig-20217-inflection-attentive_lstm-transformer-frankenstein-sweep,me1cu0s9
bengali-sig-2017-inflection-transformer-attentive_lstm-frankenstein,bengali-sig-2017-inflection-transformer-attentive_lstm-frankenstein-sweep,gf5dn2m7
